# h0_dcfeat v2 (+os_canon SE M4; v1 faff68a3 superseded) | delta=0.5*asian_width ex-ante | window 08:00→close(j) | DC def verified from arXiv 0809.1040 full text | reads day_facts date/status/traded/entry_time/dir + h0_features asian_width ONLY
date,dc_mode_aligned,os_units,os_canon,n_dc,dc_state,dc_state_canon
2017-04-25,-1,,,0,UNDEF,UNDEF
2017-04-26,,,,,,
2017-04-27,-1,,,0,UNDEF,UNDEF
2017-04-28,,,,,,
2017-05-01,,,,,,
2017-05-02,1,0.3684,0.6579,1,FRESH,FRESH
2017-05-03,-1,,,0,UNDEF,UNDEF
2017-05-04,1,0.3299,0.4264,1,FRESH,FRESH
2017-05-05,,,,,,
2017-05-08,,,,,,
2017-05-09,1,0.4482,0.5117,1,FRESH,FRESH
2017-05-10,1,1.3698,1.4271,6,MID,MID
2017-05-11,,,,,,
2017-05-12,-1,,,0,UNDEF,UNDEF
2017-05-15,-1,,,0,UNDEF,UNDEF
2017-05-16,-1,,,0,UNDEF,UNDEF
2017-05-17,-1,,,0,UNDEF,UNDEF
2017-05-18,1,2.1080,2.3110,2,EXTENDED,EXTENDED
2017-05-19,1,0.4960,0.5160,1,FRESH,FRESH
2017-05-22,1,0.7517,0.8759,1,FRESH,FRESH
2017-05-23,,,,,,
2017-05-24,1,0.4839,0.5484,1,FRESH,FRESH
2017-05-25,,,,,,
2017-05-26,-1,,,0,UNDEF,UNDEF
2017-05-29,,,,,,
2017-05-30,,,,,,
2017-05-31,,,,,,
2017-06-01,,,,,,
2017-06-02,,,,,,
2017-06-05,1,0.0000,0.3573,5,FRESH,FRESH
2017-06-06,-1,,,0,UNDEF,UNDEF
2017-06-07,,,,,,
2017-06-08,0,-0.4770,-0.3442,2,OPPOSED,OPPOSED
2017-06-09,-1,,,0,UNDEF,UNDEF
2017-06-12,-1,,,0,UNDEF,UNDEF
2017-06-13,1,0.8364,0.8636,1,FRESH,FRESH
2017-06-14,1,0.4319,0.4859,3,FRESH,FRESH
2017-06-15,1,0.4076,0.4185,1,FRESH,FRESH
2017-06-16,-1,,,0,UNDEF,UNDEF
2017-06-19,1,0.0000,0.0196,1,FRESH,FRESH
2017-06-20,1,2.2706,2.3069,4,EXTENDED,EXTENDED
2017-06-21,1,1.7751,1.7799,2,MID,MID
2017-06-22,,,,,,
2017-06-23,-1,,,0,UNDEF,UNDEF
2017-06-26,,,,,,
2017-06-27,,,,,,
2017-06-28,1,0.0000,0.1591,1,FRESH,FRESH
2017-06-29,,,,,,
2017-06-30,1,0.2091,0.2682,1,FRESH,FRESH
2017-07-03,-1,,,0,UNDEF,UNDEF
2017-07-04,,,,,,
2017-07-05,1,0.0596,0.0987,1,FRESH,FRESH
2017-07-06,1,0.0417,0.0816,1,FRESH,FRESH
2017-07-07,1,1.5341,1.7923,2,MID,MID
2017-07-10,-1,,,0,UNDEF,UNDEF
2017-07-11,-1,,,0,UNDEF,UNDEF
2017-07-12,-1,,,0,UNDEF,UNDEF
